,Team,Player,First,Last
0,North Carolina (Darkside),Thomas Harley,Thomas,Harley
1,North Carolina (Darkside),Alex Fiordalisi,Alex,Fiordalisi
2,North Carolina (Darkside),Elijah Danley,Elijah,Danley
3,North Carolina (Darkside),Aaron Wei,Aaron,Wei
4,North Carolina (Darkside),Samuel Redinbo,Samuel,Redinbo
5,North Carolina (Darkside),Andrew Li,Andrew,Li
6,North Carolina (Darkside),Dylan Hawkins,Dylan,Hawkins
7,North Carolina (Darkside),Eli Fried,Eli,Fried
8,North Carolina (Darkside),Clell Hamm,Clell,Hamm
9,North Carolina (Darkside),Ben Dameron,Ben,Dameron
10,North Carolina (Darkside),Luke Duan,Luke,Duan
11,North Carolina (Darkside),Max Goetz,Max,Goetz
12,North Carolina (Darkside),Jack McCleary,Jack,McCleary
13,North Carolina (Darkside),Bodhi Harmony,Bodhi,Harmony
14,North Carolina (Darkside),Rutledge Smith,Rutledge,Smith
15,North Carolina (Darkside),Brian Trowbridge,Brian,Trowbridge
16,North Carolina (Darkside),Jake Schwartz,Jake,Schwartz
17,North Carolina (Darkside),Frederick Huang,Frederick,Huang
18,North Carolina (Darkside),Josh Singleton,Josh,Singleton
19,North Carolina (Darkside),Lucien Noël,Lucien,Noël
20,North Carolina (Darkside),Jayden Feagans,Jayden,Feagans
21,North Carolina (Darkside),Jason Manning,Jason,Manning
22,North Carolina (Darkside),Hayden Naylor,Hayden,Naylor
23,North Carolina (Darkside),Matthew McKnight,Matthew,McKnight
24,North Carolina (Darkside),Kevin Pignone,Kevin,Pignone
25,North Carolina (Darkside),Bailey Roberts,Bailey,Roberts
26,North Carolina (Darkside),Daniel Zhu,Daniel,Zhu
27,North Carolina (Darkside),John McDonnell,John,McDonnell
28,North Carolina (Darkside),Dov Bearman,Dov,Bearman
29,North Carolina (Darkside),Henry Chen,Henry,Chen
30,North Carolina (Darkside),Noah Bush,Noah,Bush
31,Massachusetts (Zoodisc),Isaac Kaplan,Isaac,Kaplan
32,Massachusetts (Zoodisc),Andrew Zhu,Andrew,Zhu
33,Massachusetts (Zoodisc),Bryan Dole,Bryan,Dole
34,Massachusetts (Zoodisc),Leo Narbonne,Leo,Narbonne
35,Massachusetts (Zoodisc),Griffin Yas,Griffin,Yas
36,Massachusetts (Zoodisc),Daniel Kang,Daniel,Kang
37,Massachusetts (Zoodisc),Asa Thomson,Asa,Thomson
38,Massachusetts (Zoodisc),Jaden Busch,Jaden,Busch
39,Massachusetts (Zoodisc),Jae Lee,Jae,Lee
40,Massachusetts (Zoodisc),Wyatt Kellman,Wyatt,Kellman
41,Massachusetts (Zoodisc),Jonah Stang-Osborne,Jonah,Stang-Osborne
42,Massachusetts (Zoodisc),Sam Green,Sam,Green
43,Massachusetts (Zoodisc),Griffin Gee,Griffin,Gee
44,Massachusetts (Zoodisc),Charlie Leightheiser,Charlie,Leightheiser
45,Massachusetts (Zoodisc),Arthur Aucoin,Arthur,Aucoin
46,Massachusetts (Zoodisc),Lyle Berkley,Lyle,Berkley
47,Massachusetts (Zoodisc),Nima Lhamo,Nima,Lhamo
48,Massachusetts (Zoodisc),Christopher Streilein,Christopher,Streilein
49,Massachusetts (Zoodisc),Carter Hawkins,Carter,Hawkins
50,Massachusetts (Zoodisc),Noel Sierra,Noel,Sierra
51,Massachusetts (Zoodisc),Aidan O'Neill,Aidan,O'Neill
52,Massachusetts (Zoodisc),Alberto Morales-Fernandez,Alberto,Morales-Fernandez
53,Massachusetts (Zoodisc),Caelan McSweeney,Caelan,McSweeney
54,Massachusetts (Zoodisc),Will Christian,Will,Christian
55,Massachusetts (Zoodisc),Gavin Abrahamsson,Gavin,Abrahamsson
56,Massachusetts (Zoodisc),Luca  Harwood,Luca,
57,Massachusetts (Zoodisc),Tobias Paperno,Tobias,Paperno
58,Cal Poly-SLO (SLOCORE),Joseph Thachet,Joseph,Thachet
59,Cal Poly-SLO (SLOCORE),Charles Camilli,Charles,Camilli
60,Cal Poly-SLO (SLOCORE),Alex Yannelli,Alex,Yannelli
61,Cal Poly-SLO (SLOCORE),Keaton Orser,Keaton,Orser
62,Cal Poly-SLO (SLOCORE),James Whealan,James,Whealan
63,Cal Poly-SLO (SLOCORE),Max Gade,Max,Gade
64,Cal Poly-SLO (SLOCORE),Jamieson Rear,Jamieson,Rear
65,Cal Poly-SLO (SLOCORE),Dodger Middlebrook,Dodger,Middlebrook
66,Cal Poly-SLO (SLOCORE),Bailey Prochaska,Bailey,Prochaska
67,Cal Poly-SLO (SLOCORE),Rafael Castillo,Rafael,Castillo
68,Cal Poly-SLO (SLOCORE),Anton Orme,Anton,Orme
69,Cal Poly-SLO (SLOCORE),Garrett Bush,Garrett,Bush
70,Cal Poly-SLO (SLOCORE),Sander Fogarty,Sander,Fogarty
71,Cal Poly-SLO (SLOCORE),Wyatt Colburn,Wyatt,Colburn
72,Cal Poly-SLO (SLOCORE),Seamus Robinson,Seamus,Robinson
73,Cal Poly-SLO (SLOCORE),Leo Lauritzen,Leo,Lauritzen
74,Cal Poly-SLO (SLOCORE),Zach Riley,Zach,Riley
