Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,College Region,College Conference,Wins,Losses
1,North Carolina,2124,College,Men,Division I,Atlantic Coast,Carolina DI,41,2
2,Massachusetts,2058,College,Men,Division I,New England,Greater New England DI,31,5
3,Cal Poly-SLO,1992,College,Men,Division I,Southwest,SoCal DI,39,7
4,Colorado,1969,College,Men,Division I,South Central,Rocky Mountain DI,29,6
5,Vermont,1940,College,Men,Division I,New England,Greater New England DI,26,11
6,Oregon,1923,College,Men,Division I,Northwest,Cascadia DI,36,11
7,Brown,1903,College,Men,Division I,New England,Greater New England DI,24,11
8,Pittsburgh,1898,College,Men,Division I,Ohio Valley,West Penn DI,27,8
9,California-Santa Cruz,1880,College,Men,Division I,Southwest,NorCal DI,33,10
10,Texas,1855,College,Men,Division I,South Central,South Texas DI,27,9
11,Carleton College,1817,College,Men,Division I,North Central,Northwoods DI,26,13
12,Minnesota,1797,College,Men,Division I,North Central,Northwoods DI,21,14
13,UCLA,1786,College,Men,Division I,Southwest,SoCal DI,24,9
14,Georgia,1777,College,Men,Division I,Southeast,Southern Appalachian DI,23,14
15,British Columbia,1762,College,Men,Division I,Northwest,Cascadia DI,19,9
16,California,1760,College,Men,Division I,Southwest,NorCal DI,31,15
17,Tufts,1719,College,Men,Division I,New England,Metro Boston DI,21,13
18,Washington,1711,College,Men,Division I,Northwest,Cascadia DI,25,20
19,Utah State,1651,College,Men,Division I,Northwest,Big Sky DI,24,17
20,Colorado College,1641,College,Men,Division III,South Central,Rocky Mountain DIII,24,5
